PKEY,ID,BIKE_ID,FAC_NAME,LONGITUDE,LATITUDE
29158,38623,31117,15th & Euclid St  NW,-77.0352,38.9233
29161,25294,31118,3rd & Elm St NW,-77.01597,38.917622
29174,38625,31119,14th & Belmont St NW,-77.0319,38.9211
29184,31607,31120,10th & Florida Ave NW,-77.0257,38.9204
29192,55256,31121,Calvert St & Woodley Pl NW,-77.050046,38.923583
29203,38628,31122,16th & Irving St NW,-77.0363,38.9289
29205,18121,31123,14th & Girard St NW,-77.032375,38.925284
29220,38630,31124,14th & Irving St NW,-77.0322,38.9286
29230,31612,31125,15th & W St NW,-77.0345,38.9191
29238,38632,31126,11th & Girard St NW,-77.0271,38.9256
29248,62975,31127,22nd & H St NW,-77.04885238,38.89892547
29255,31615,31128,-,-77.0503,38.9053
29261,54832,31129,15th St & Pennsylvania Ave NW,-77.03338087,38.89646475
29266,41538,31130,7th & S St NW,-77.0222,38.9142
29273,44523,31131,14th & Otis Pl NW,-77.032687,38.934405
29276,44754,31132,13th & U St NW,-77.02963114,38.91693645
29281,44615,31133,20th & Columbia Rd NW,-77.045487,38.918036
29285,62982,31134,8th & V St NW,-77.022684,38.917716
29287,54732,31135,16th & Harvard St NW,-77.03665,38.926102
29290,62984,31136,11th & Clifton St NW,-77.02708572,38.92232434
29292,62985,31137,Park Pl & Rock Creek Church Rd NW,-77.01912493,38.93713517
29293,55009,31138,4th & College St NW,-77.01813519,38.92123296
29301,31619,31200,Massachusetts Ave & Dupont Circle NW,-77.0444,38.9101
29310,54735,31201,15th & P St NW,-77.03442693,38.90980063
29319,31621,31202,14th & R St NW,-77.0317,38.9127
29329,44592,31203,14th & Rhode Island Ave NW,-77.0323,38.9086
29337,54823,31204,20th & E St NW,-77.045,38.8963
29345,44594,31205,21st & I St NW,-77.04644859,38.90071063
29355,44608,31206,19th & E Street NW,-77.0436,38.8952
29366,62994,31207,Georgia Ave & Fairmont St NW,-77.02232748,38.92478459
29375,62995,31208,M St & New Jersey Ave SE,-77.0037,38.8763
29376,25315,31209,1st & N St  SE,-77.0057,38.8743
29386,62997,31210,17th St & Rhode Island Ave NW,-77.03862727,38.90676706
29393,31629,31211,Kennedy Center,-77.0548,38.8952
29403,55102,31212,New Hampshire Ave & Ward Pl NW,-77.04731762,38.90571079
29406,6371,31213,17th & K St NW,-77.03863,38.90276
29421,44627,31214,17th & Corcoran St NW,-77.0387,38.9121
29424,11913,31215,Georgetown Harbor / 30th St NW,-77.059219,38.902221
29438,55115,31216,14th St & New York Ave NW,-77.031686,38.899632
29442,11915,31217,USDA / 12th & Independence Ave SW,-77.028226,38.887237
29455,44644,31218,L'Enfant Plaza / 7th & C St SW,-77.022241,38.886266
29462,18146,31219,10th St & Constitution Ave NW,-77.026013,38.893028
29469,25325,31220,US Dept of State / Virginia Ave & 21st St NW,-77.046587,38.894919
29484,38656,31221,18th & M St NW,-77.0416,38.9047
29487,11920,31222,New York Ave & 15th St NW,-77.0337,38.8991
29501,44653,31223,Convention Center / 7th & M St NW,-77.02227,38.905737
29510,31642,31224,19th & L St NW,-77.0436,38.9034
29519,31643,31225,C & O Canal & Wisconsin Ave NW,-77.0627,38.9038
29529,44659,31226,34th St & Wisconsin Ave NW,-77.0682,38.916442
29538,38662,31227,13th St & New York Ave NW,-77.0298,38.9003
29547,38663,31228,8th & H St NW,-77.0231,38.8997
29550,11927,31229,New Hampshire Ave & T St NW,-77.03818,38.91554
29564,54924,31230,Metro Center / 12th & G St NW,-77.02795878,38.89832574
29574,55139,31231,14th & D St NW / Ronald Reagan Building,-77.031617,38.894514
29582,44674,31232,7th & F St NW / National Portrait Gallery,-77.02219069,38.89728305
29592,38668,31233,17th & K St NW / Farragut Square,-77.0383,38.9021
29599,31652,31234,20th & O St NW / Dupont South,-77.0448,38.9089
29603,18162,31235,19th St & Constitution Ave NW,-77.0436,38.8923
29618,54698,31236,37th & O St NW / Georgetown University,-77.07166,38.907837
29628,38672,31237,25th St & Pennsylvania Ave NW,-77.0535,38.9038
29631,25343,31238,14th & G St NW,-77.031823,38.898069
29645,38674,31239,17th & Rhode Island Ave NW,-77.0388,38.9066
29654,38675,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.0466,38.8841
29663,54977,31241,Thomas Circle,-77.0325,38.9059
29673,38677,31242,18th St & Pennsylvania Ave NW,-77.0415,38.8997
29681,44695,31243,4th & C St SW,-77.01770067,38.88637194
29689,31662,31244,4th & E St SW,-77.0174,38.8841
29699,38680,31245,7th & R St NW / Shaw Library,-77.0222,38.9127
29704,11944,31246,M St & Pennsylvania Ave NW,-77.056887,38.905126
29711,18174,31247,Jefferson Dr & 14th St SW,-77.032429,38.888553
29726,54643,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,-77.028694,38.888774
29736,44716,31249,Jefferson Memorial,-77.037413,38.879819
29745,44719,31250,20th & L St NW,-77.044789,38.903584
29754,31669,31251,12th & L St NW,-77.0284,38.9038
29757,25357,31252,21st St & Pennsylvania Ave NW,-77.046564,38.901539
29771,38688,31253,19th & K St NW,-77.0434,38.9022
29775,11952,31254,15th & K St NW,-77.03353,38.902
29786,11953,31255,24th & N St NW,-77.05152,38.9066
29800,63043,31256,10th & E St NW,-77.026064,38.895914
29803,6415,31257,22nd & I St NW / Foggy Bottom,-77.048911,38.90088
29817,54678,31258,Lincoln Memorial,-77.0494365,38.888255
29819,11957,31259,20th St & Virginia Ave NW,-77.045128,38.894722
29834,38695,31260,23rd & E St NW,-77.0499,38.8961
29844,38696,31261,21st St & Constitution Ave NW,-77.0466,38.8925
29847,18189,31262,11th & F St NW,-77.026975,38.897857
29860,31681,31263,10th & K St NW,-77.0262,38.9024
29870,31682,31264,6th St & Indiana Ave NW,-77.0199,38.8946
29875,18192,31265,5th St & Massachusetts Ave NW,-77.018677,38.90093
29889,55043,31266,11th & M St NW,-77.027313,38.9055785
29892,11965,31267,17th St & Massachusetts Ave NW,-77.038359,38.908142
29906,31686,31268,12th & U St NW,-77.0281,38.9168
29916,38704,31269,3rd St & Pennsylvania Ave SE,-77.002,38.8874
29924,38705,31270,8th & D St NW,-77.0232,38.8949
29934,31689,31271,Constitution Ave & 2nd St NW/DOL,-77.0139,38.8923
29941,55214,31272,Washington & Independence Ave SW/HHS,-77.013769,38.886978
29945,11971,31273,Hains Point/Buckeye & Ohio Dr SW,-77.03023,38.878433
29960,54711,31274,10th & G St NW,-77.02623546,38.89824329
29970,44780,31275,New Hampshire Ave & 24th St NW,-77.051084,38.901755
29973,6434,31276,15th & L St NW,-77.034931,38.90381
29987,38712,31277,17th & G St NW,-77.0396,38.8984
29996,55295,31278,18th & R St NW,-77.041834,38.912648
30005,31697,31279,19th & G St NW,-77.0432,38.8984
30015,44787,31280,11th & S St NW,-77.027025,38.913761
30023,44463,31281,8th & O St NW,-77.02277,38.90864
30031,55318,31282,16th & R St NW,-77.036278,38.912652
30041,55321,31283,14th & L St NW,-77.031737,38.903658
30051,38719,31284,18th & C St NW,-77.0415,38.8935
30060,44572,31285,22nd & P ST NW,-77.048728,38.909394
30062,25391,31286,11th & O St NW,-77.02714,38.90843
30077,55330,31287,10th St & L'Enfant Plaza SW,-77.02601016,38.88432272
30087,38723,31288,4th St & Madison Dr NW,-77.0173,38.8905
30091,25394,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,-77.049379,38.890544
30098,18217,31290,17th St & Independence Ave SW,-77.038325,38.888097
30113,31709,31291,16th & K St NW,-77.0357,38.9027
30123,55345,31292,22nd St & Constitution Ave NW,-77.048947,38.892441
30128,25398,31293,31st & Water St NW,-77.061043,38.902814
30138,38729,31294,7th & E St SW,-77.0217,38.8835
30150,31713,31295,Potomac & M St NW,-77.0651,38.9054
30153,6454,31296,Columbia & Ontario Rd NW,-77.040787,38.924088
30161,11995,31297,Virginia Ave & 25th St NW,-77.054155,38.8995
30175,44504,31298,15th & M St NW,-77.034674,38.905424
30186,38734,31299,Connecticut Ave & R St NW,-77.0456,38.9126
30190,25405,31300,Van Ness Metro / UDC,-77.063896,38.944551
30200,6459,31301,Ward Circle / American University,-77.087171,38.938736
30211,31720,31302,Wisconsin Ave & Newark St NW,-77.0728,38.9349
30222,31721,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,-77.0794,38.9476
30224,12002,31304,36th & Calvert St NW / Glover Park,-77.070334,38.922581
30238,38740,31305,Connecticut Ave & Newark St NW / Cleveland Park,-77.058,38.9343
30248,44711,31306,39th & Calvert St NW / Stoddert,-77.077271,38.922649
30253,6465,31307,3000 Connecticut Ave NW / National Zoo,-77.055599,38.930282
30263,18235,31308,39th & Veazey St NW,-77.077078,38.943837
30274,38744,31309,Fessenden St & Wisconsin Ave NW,-77.0824,38.9548
30284,38745,31310,Connecticut & Nebraska Ave NW,-77.07,38.955
30287,55083,31311,13th & O St NW/ Logan Circle,-77.029779,38.908735
30296,38746,31312,Wisconsin Ave & O St NW,-77.0636,38.9085
30306,63100,31313,Connecticut Ave & Tilden St NW,-77.06197724,38.94113916
30312,44778,31314,34th & Water St NW,-77.0675285,38.9037315
30321,44781,31315,Connecticut Ave & McKinley St NW,-77.07513481,38.96454351
30325,6473,31316,Yuma St & Tenley Circle NW,-77.08059,38.946182
30337,18243,31317,Wisconsin Ave & Ingomar St NW,-77.084636,38.958267
30344,25422,31318,Connecticut Ave & Yuma St NW,-77.065115,38.947156
30356,44538,31319,Wisconsin Ave & Brandywine St NW,-77.080217,38.949813
30362,12017,31320,-,-77.087128,38.936298
30372,44477,31321,15th St & Constitution Ave NW,-77.033234,38.892244
30378,25426,31322,-,-77.09629,38.917304
30388,38757,31323,-,-77.0518,38.9234
30392,18250,31324,-,-77.041829,38.911268
30401,44508,31325,Reservoir Rd & 38th St NW,-77.07432264,38.91261359
30405,55007,31326,Hardy Rec Center,-77.08564639,38.90970086
30411,63114,31327,14th & Q St NW,-77.03188,38.910674
30412,55078,31328,21st St & G st NW,-77.04691261,38.89830174
30418,63116,31330,17th & P St NW,-77.038566,38.909858
30419,54902,31331,Arizona Ave & MacArthur Blvd NW,-77.103662,38.927294
30422,42931,31332,11th & V st NW,-77.027171,38.918199
30425,55057,31333,Wisconsin Ave & Rodman St NW,-77.07527697,38.93967417
30428,63120,31334,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,-77.106913,38.935839
30429,67370,31335,16th & K St NW/BLM Plaza,-77.035866,38.902677
30430,67364,31336,9th & N St NW,-77.023885,38.906622
30431,68463,31337,33rd St & Wisconsin Ave NW,-77.066074,38.912181
30432,68451,31338,Connecticut Ave & Ordway St NW / Cleveland Park Metro,-77.058468,38.935842
30433,68439,31339,18th St & Ingleside Ter NW,-77.041362,38.934784
30434,68453,31380,Sunrise Valley Dr & Roland Clarke Pl,-77.350396,38.949366
30435,68452,31381,Westbranch Dr & Maitland St,-77.220829,38.927943
30436,68435,31383,N Shore Dr & Bandit Loop,-77.331794,38.95937
30437,68465,31385,Old Meadow Rd & Old Meadow Ln,-77.21245961,38.91898809
30438,68448,31386,Prosperity Ave & Avenir Pl,-77.23037748,38.88143586
30439,68461,31387,Kingsbridge Dr & Draper Dr,-77.28208338,38.8685447
30440,68432,31389,Route 29 & Circle Woods Dr,-77.27153767,38.86911419
30442,63121,31390,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,-77.0909109,38.916501
30443,68445,31391,44th St & New Mexico Ave NW,-77.086263,38.933899
30444,68438,31392,39th St & Tunlaw Rd NW,-77.079119,38.9257
30445,67372,31393,Wisconsin Ave & Upton St NW,-77.07643,38.941808
30446,68464,31394,New Mexico & Cathedral Ave NW,-77.083704,38.930316
30447,67373,31395,Massachusetts & Idaho Ave NW,-77.077214,38.931349
30448,68436,31396,Dorr Ave & Prosperity Ave,-77.233583,38.879256
30449,68459,31398,Tyco Rd & Boyd Pointe Way,-77.241436,38.930767
30450,67369,31399,Old Meadow Rd & Cathy Ln,-77.213879,38.916908
30459,63122,31400,Georgia & New Hampshire Ave NW,-77.02418089,38.93668393
30461,6478,31401,14th St & Spring Rd NW,-77.0328,38.9375
30470,25431,31402,14th St Heights / 14th & Crittenden St NW,-77.032818,38.947774
30480,18254,31403,5th & Kennedy St NW,-77.019815,38.956595
30493,31745,31404,9th & Upshur St NW,-77.0251,38.9418
30501,31746,31405,Georgia Ave & Emerson St NW,-77.0273,38.9497
30505,25435,31406,14th & Upshur St NW,-77.032652,38.942016
30518,55189,31407,14th St & Colorado Ave NW,-77.032947,38.956432
30528,44776,31408,Takoma Metro,-77.016855,38.975219
30538,44524,31411,Georgia & Missouri Ave NW,-77.027855,38.961339
30543,18261,31412,3rd St & Riggs Rd NE,-77.002239,38.957463
30554,44526,31413,3rd & Underwood St NW,-77.016258,38.968834
30563,44533,31414,Georgia Ave & Piney Branch Rd NW,-77.027976,38.967505
30575,63135,31415,Georgia Ave & Kennedy St NW,-77.02791,38.95674
30576,18265,31416,-,-77.033509,38.969489
30584,18266,31417,-,-77.021467,38.948057
30595,32031,31418,-,-77.0128,38.9516
30602,32032,31419,-,-77.0235,38.9321
30604,54776,31420,17th & Upshur St NW,-77.038684,38.942146
30609,54907,31421,Grant Circle,-77.01822102,38.94202474
30614,44536,31422,Broad Branch Rd & Northampton St NW,-77.06862643,38.96577499
30618,44532,31423,Kansas Ave & Longfellow St NW,-77.013821,38.958098
30623,63144,31424,9th & Ingraham St NW,-77.02561319,38.95366314
30624,54760,31425,Georgia Ave & Dahlia St NW,-77.026747,38.976061
30627,63146,31426,10th St & Spring Rd NW,-77.027163,38.936228
30628,68431,31427,Kansas Ave & Tuckerman St NW / Lamond Rec,-77.007003,38.967492
30629,68444,31428,Western Ave & Pinehurst Cir NW,-77.066409,38.975739
30632,12033,31500,4th & W St NE,-77.000648,38.919077
30639,18270,31501,12th & Newton St NE,-76.991016,38.933668
30652,31759,31502,John McCormack Dr & Michigan Ave NE,-76.9955,38.9346
